,Name,CMP,P/E,Mar Cap,Div Yld,NP Qtr,Qtr Profit Var,Sales Qtr,Qtr Sales Var,ROCE,PAT Ann,ROE,ROA
987,Kriti Industries,113.15,13.55,562.7,0.18,5.51,0.0,112.69,25.27,31.57,36.23,31.03,10.29
988,Control Print,342.9,16.23,559.68,2.48,9.83,34.84,62.8,18.4,17.55,30.59,14.11,11.2
989,Shreyas Shipping,254.35,4.92,557.26,0.79,29.44,195.88,75.34,-45.12,9.81,42.22,10.66,5.92
990,NDTV,86.7,7.46,555.15,0.0,12.03,-31.61,91.21,-3.33,52.74,71.9,59.95,16.01
991,Xelpmoc Design,378.95,,549.31,0.0,-3.37,-316.03,1.12,-67.72,7.99,4.08,7.85,6.62
992,Sh.Global Trad.,4.31,645.05,548.29,0.0,1.61,475.0,7.37,,-0.42,0.09,0.03,0.03
993,Sr.Rayala.Hypo,319.6,7.86,547.8,0.94,20.67,27.83,271.16,33.41,20.85,60.6,17.33,12.58
994,Man Industries,95.3,5.45,545.64,0.0,24.47,-10.3,490.19,-16.53,17.35,99.99,12.65,5.53
995,Polo Queen Ind.,81.2,378.65,545.26,0.0,0.52,446.67,18.4,142.42,0.86,0.21,0.12,0.1
996,Jash Engineering,457.7,18.77,543.63,0.0,-1.16,-184.67,61.13,3.24,21.0,30.48,21.63,10.15
997,Rubfila Intl.,99.55,12.25,540.24,1.31,10.97,32.65,106.32,60.51,23.49,30.32,17.64,14.01
998,Ganesh Benzopl.,86.7,33.29,538.93,0.0,6.98,-31.6,76.52,40.77,25.59,26.31,13.84,8.36
999,Nahar Capital,319.15,3.06,534.85,0.47,55.94,7364.94,10.21,81.35,9.14,60.97,6.65,6.03
1000,Morganite Crucib,955.0,,534.8,0.0,5.26,161.69,36.59,51.51,8.47,0.5,0.48,0.36
1001,Anuh Pharma,106.05,27.58,531.43,1.41,8.6,29.52,108.74,-3.12,15.82,22.5,12.75,6.83
1002,Wim Plast,440.4,13.22,528.63,1.14,10.2,46.76,86.72,43.13,11.73,32.3,8.8,8.02
1003,Tour. Fin. Corp.,57.95,6.15,523.25,1.38,21.65,-1.32,65.7,1.42,10.57,80.75,10.45,3.65
1004,T B Z,78.4,11.13,522.83,3.19,7.36,-49.31,455.88,66.88,10.71,43.15,8.6,3.22
1005,TGV Sraac,48.75,14.25,522.06,0.0,14.65,36.66,304.65,20.82,9.3,28.95,5.07,2.12
1006,Orient Bell,362.8,28.49,521.64,0.14,8.23,178.04,167.69,28.63,5.2,6.36,2.62,1.49
1007,Asian Energy,135.85,10.93,521.59,0.0,4.73,-36.08,51.63,62.0,19.39,33.94,17.64,10.38
1008,Munjal Auto Inds,52.25,18.7,521.48,0.0,3.5,-54.19,589.29,-6.59,10.92,21.37,7.02,2.91
1009,The Invest.Trust,102.2,28.59,521.12,0.0,8.63,90.09,90.55,24.6,7.12,15.03,2.48,1.31
1010,Balaxi Pharma,519.7,12.35,519.7,0.0,12.05,19.07,70.23,16.41,92.56,38.14,82.26,56.23
1011,Aurum Proptech,181.45,26.97,519.35,536.79,-1.36,-176.4,0.08,-96.23,4.77,13.59,3.69,3.56
1012,Systematix Corp.,400.0,74.17,519.21,0.0,4.41,-17.26,22.91,23.44,4.29,1.32,1.73,0.86
1013,Sahyadri Industr,542.35,7.37,518.57,0.92,11.84,-2.31,104.34,14.4,30.91,61.26,28.49,17.84
1014,Universal Cables,150.1,6.2,518.16,0.67,8.3,-38.47,451.16,59.02,9.07,67.04,6.31,2.96
1015,Hindustan Media,70.15,8.2,516.06,0.0,31.17,724.6,163.34,24.49,5.68,69.96,4.51,3.47
1016,Kellton Tech,53.05,6.86,511.72,0.47,17.44,9.82,208.74,9.36,18.48,71.1,16.99,10.53
1017,Voith Paper,1156.4,17.65,507.66,0.43,6.27,-21.03,37.19,10.52,14.52,27.07,10.98,10.01
1018,Finkurve Fin.,39.95,129.29,506.8,0.0,1.54,-37.9,10.49,44.69,6.44,4.58,3.38,2.07
1019,DCM Nouvelle,271.95,4.72,506.79,0.0,41.39,10512.82,240.95,60.31,14.48,30.51,18.07,7.96
1020,Axtel Industries,313.5,39.51,506.45,1.91,2.06,-62.96,26.5,-34.01,42.6,20.64,32.67,19.53
1021,Talbros Auto.,409.15,11.15,505.3,0.49,11.12,11.2,143.99,33.0,13.05,24.83,11.15,4.92
1022,,,,,,,,,,,,,
1023,,,,,,,,,,,,,
1024,,,,,,,,,,,,,
1025,,,,,,,,,,,,,
1026,,,,,,,,,,,,,
1027,,,,,,,,,,,,,
1028,,,,,,,,,,,,,
1029,,,,,,,,,,,,,
1030,,,,,,,,,,,,,
1031,,,,,,,,,,,,,
1032,,,,,,,,,,,,,
1033,,,,,,,,,,,,,
1034,,,,,,,,,,,,,
1035,,,,,,,,,,,,,
1036,,,,,,,,,,,,,
1037,,,,,,,,,,,,,
1038,,,,,,,,,,,,,
1039,,,,,,,,,,,,,
1040,,,,,,,,,,,,,
1041,,,,,,,,,,,,,
1042,,,,,,,,,,,,,
1043,,,,,,,,,,,,,
1044,,,,,,,,,,,,,
1045,,,,,,,,,,,,,
1046,,,,,,,,,,,,,
1047,,,,,,,,,,,,,
1048,,,,,,,,,,,,,
1049,,,,,,,,,,,,,
1050,,,,,,,,,,,,,
1051,,,,,,,,,,,,,
1052,,,,,,,,,,,,,
1053,,,,,,,,,,,,,
1054,,,,,,,,,,,,,
1055,,,,,,,,,,,,,
1056,,,,,,,,,,,,,
1057,,,,,,,,,,,,,
1058,,,,,,,,,,,,,
1059,,,,,,,,,,,,,
1060,,,,,,,,,,,,,
1061,,,,,,,,,,,,,
1062,,,,,,,,,,,,,
1063,,,,,,,,,,,,,
1064,,,,,,,,,,,,,
1065,,,,,,,,,,,,,
1066,,,,,,,,,,,,,
1067,,,,,,,,,,,,,
1068,,,,,,,,,,,,,
1069,,,,,,,,,,,,,
1070,,,,,,,,,,,,,
1071,,,,,,,,,,,,,
1072,,,,,,,,,,,,,
1073,,,,,,,,,,,,,
1074,,,,,,,,,,,,,
1075,,,,,,,,,,,,,
1076,,,,,,,,,,,,,
1077,,,,,,,,,,,,,
1078,,,,,,,,,,,,,
1079,,,,,,,,,,,,,
1080,,,,,,,,,,,,,
1081,,,,,,,,,,,,,
1082,,,,,,,,,,,,,
1083,,,,,,,,,,,,,
1084,,,,,,,,,,,,,
1085,,,,,,,,,,,,,
1086,,,,,,,,,,,,,
1087,,,,,,,,,,,,,
1088,,,,,,,,,,,,,
1089,,,,,,,,,,,,,
1090,,,,,,,,,,,,,
1091,,,,,,,,,,,,,
1092,,,,,,,,,,,,,
1093,,,,,,,,,,,,,
1094,,,,,,,,,,,,,
1095,,,,,,,,,,,,,
1096,,,,,,,,,,,,,
1097,,,,,,,,,,,,,
1098,,,,,,,,,,,,,
1099,,,,,,,,,,,,,
1100,,,,,,,,,,,,,
1101,,,,,,,,,,,,,
1102,,,,,,,,,,,,,
1103,,,,,,,,,,,,,
1104,,,,,,,,,,,,,
1105,,,,,,,,,,,,,
1106,,,,,,,,,,,,,
1107,,,,,,,,,,,,,
1108,,,,,,,,,,,,,
1109,,,,,,,,,,,,,
1110,,,,,,,,,,,,,
1111,,,,,,,,,,,,,
1112,,,,,,,,,,,,,
1113,,,,,,,,,,,,,
1114,,,,,,,,,,,,,
1115,,,,,,,,,,,,,
1116,,,,,,,,,,,,,
1117,,,,,,,,,,,,,
1118,,,,,,,,,,,,,
1119,,,,,,,,,,,,,
1120,,,,,,,,,,,,,
1121,,,,,,,,,,,,,
1122,,,,,,,,,,,,,
1123,,,,,,,,,,,,,
1124,,,,,,,,,,,,,
1125,,,,,,,,,,,,,
1126,,,,,,,,,,,,,
1127,,,,,,,,,,,,,
1128,,,,,,,,,,,,,
1129,,,,,,,,,,,,,
1130,,,,,,,,,,,,,
1131,,,,,,,,,,,,,
1132,,,,,,,,,,,,,
1133,,,,,,,,,,,,,
1134,,,,,,,,,,,,,
1135,,,,,,,,,,,,,
1136,,,,,,,,,,,,,
1137,,,,,,,,,,,,,
1138,,,,,,,,,,,,,
1139,,,,,,,,,,,,,
1140,,,,,,,,,,,,,
1141,,,,,,,,,,,,,
1142,,,,,,,,,,,,,
1143,,,,,,,,,,,,,
1144,,,,,,,,,,,,,
1145,,,,,,,,,,,,,
1146,,,,,,,,,,,,,
1147,,,,,,,,,,,,,
1148,,,,,,,,,,,,,
1149,,,,,,,,,,,,,
1150,,,,,,,,,,,,,
1151,,,,,,,,,,,,,
1152,,,,,,,,,,,,,
1153,,,,,,,,,,,,,
1154,,,,,,,,,,,,,
1155,,,,,,,,,,,,,
1156,,,,,,,,,,,,,
1157,,,,,,,,,,,,,
1158,,,,,,,,,,,,,
1159,,,,,,,,,,,,,
1160,,,,,,,,,,,,,
1161,,,,,,,,,,,,,
1162,,,,,,,,,,,,,
1163,,,,,,,,,,,,,
1164,,,,,,,,,,,,,
1165,,,,,,,,,,,,,
1166,,,,,,,,,,,,,
1167,,,,,,,,,,,,,
1168,,,,,,,,,,,,,
1169,,,,,,,,,,,,,
1170,,,,,,,,,,,,,
1171,,,,,,,,,,,,,
1172,,,,,,,,,,,,,
1173,,,,,,,,,,,,,
1174,,,,,,,,,,,,,
1175,,,,,,,,,,,,,
1176,,,,,,,,,,,,,
1177,,,,,,,,,,,,,
1178,,,,,,,,,,,,,
1179,,,,,,,,,,,,,
1180,,,,,,,,,,,,,
1181,,,,,,,,,,,,,
1182,,,,,,,,,,,,,
1183,,,,,,,,,,,,,
1184,,,,,,,,,,,,,
1185,,,,,,,,,,,,,
1186,,,,,,,,,,,,,
1187,,,,,,,,,,,,,
1188,,,,,,,,,,,,,
1189,,,,,,,,,,,,,
1190,,,,,,,,,,,,,
1191,,,,,,,,,,,,,
1192,,,,,,,,,,,,,
1193,,,,,,,,,,,,,
1194,,,,,,,,,,,,,
1195,,,,,,,,,,,,,
1196,,,,,,,,,,,,,
1197,,,,,,,,,,,,,
1198,,,,,,,,,,,,,
1199,,,,,,,,,,,,,
1200,,,,,,,,,,,,,
1201,,,,,,,,,,,,,
1202,,,,,,,,,,,,,
1203,,,,,,,,,,,,,
1204,,,,,,,,,,,,,
1205,,,,,,,,,,,,,
1206,,,,,,,,,,,,,
1207,,,,,,,,,,,,,
1208,,,,,,,,,,,,,
1209,,,,,,,,,,,,,
1210,,,,,,,,,,,,,
1211,,,,,,,,,,,,,
1212,,,,,,,,,,,,,
1213,,,,,,,,,,,,,
1214,,,,,,,,,,,,,
1215,,,,,,,,,,,,,
1216,,,,,,,,,,,,,
1217,,,,,,,,,,,,,
1218,,,,,,,,,,,,,
1219,,,,,,,,,,,,,
1220,,,,,,,,,,,,,
1221,,,,,,,,,,,,,
1222,,,,,,,,,,,,,
1223,,,,,,,,,,,,,
1224,,,,,,,,,,,,,
1225,,,,,,,,,,,,,
1226,,,,,,,,,,,,,
1227,,,,,,,,,,,,,
1228,,,,,,,,,,,,,
1229,,,,,,,,,,,,,
1230,,,,,,,,,,,,,
1231,,,,,,,,,,,,,
1232,,,,,,,,,,,,,
1233,,,,,,,,,,,,,
1234,,,,,,,,,,,,,
1235,,,,,,,,,,,,,
1236,,,,,,,,,,,,,
1237,,,,,,,,,,,,,
1238,,,,,,,,,,,,,
1239,,,,,,,,,,,,,
1240,,,,,,,,,,,,,
1241,,,,,,,,,,,,,
1242,,,,,,,,,,,,,
1243,,,,,,,,,,,,,
1244,,,,,,,,,,,,,
1245,,,,,,,,,,,,,
1246,,,,,,,,,,,,,
1247,,,,,,,,,,,,,
1248,,,,,,,,,,,,,
1249,,,,,,,,,,,,,
1250,,,,,,,,,,,,,
1251,,,,,,,,,,,,,
1252,,,,,,,,,,,,,
1253,,,,,,,,,,,,,
1254,,,,,,,,,,,,,
1255,,,,,,,,,,,,,
1256,,,,,,,,,,,,,
1257,,,,,,,,,,,,,
1258,,,,,,,,,,,,,
1259,,,,,,,,,,,,,
1260,,,,,,,,,,,,,
1261,,,,,,,,,,,,,
1262,,,,,,,,,,,,,
1263,,,,,,,,,,,,,
1264,,,,,,,,,,,,,
1265,,,,,,,,,,,,,
1266,,,,,,,,,,,,,
1267,,,,,,,,,,,,,
1268,,,,,,,,,,,,,
1269,,,,,,,,,,,,,
1270,,,,,,,,,,,,,
1271,,,,,,,,,,,,,
1272,,,,,,,,,,,,,
1273,,,,,,,,,,,,,
1274,,,,,,,,,,,,,
1275,,,,,,,,,,,,,
1276,,,,,,,,,,,,,
1277,,,,,,,,,,,,,
1278,,,,,,,,,,,,,
1279,,,,,,,,,,,,,
1280,,,,,,,,,,,,,
1281,,,,,,,,,,,,,
1282,,,,,,,,,,,,,
1283,,,,,,,,,,,,,
1284,,,,,,,,,,,,,
1285,,,,,,,,,,,,,
1286,,,,,,,,,,,,,
1287,,,,,,,,,,,,,
1288,,,,,,,,,,,,,
1289,,,,,,,,,,,,,
1290,,,,,,,,,,,,,
1291,,,,,,,,,,,,,
1292,,,,,,,,,,,,,
1293,,,,,,,,,,,,,
1294,,,,,,,,,,,,,
1295,,,,,,,,,,,,,
1296,,,,,,,,,,,,,
1297,,,,,,,,,,,,,
1298,,,,,,,,,,,,,
1299,,,,,,,,,,,,,
1300,,,,,,,,,,,,,
1301,,,,,,,,,,,,,
1302,,,,,,,,,,,,,
1303,,,,,,,,,,,,,
1304,,,,,,,,,,,,,
1305,,,,,,,,,,,,,
1306,,,,,,,,,,,,,
1307,,,,,,,,,,,,,
1308,,,,,,,,,,,,,
1309,,,,,,,,,,,,,
1310,,,,,,,,,,,,,
1311,,,,,,,,,,,,,
1312,,,,,,,,,,,,,
1313,,,,,,,,,,,,,
1314,,,,,,,,,,,,,
1315,,,,,,,,,,,,,
1316,,,,,,,,,,,,,
1317,,,,,,,,,,,,,
1318,,,,,,,,,,,,,
1319,,,,,,,,,,,,,
1320,,,,,,,,,,,,,
1321,,,,,,,,,,,,,
1322,,,,,,,,,,,,,
1323,,,,,,,,,,,,,
1324,,,,,,,,,,,,,
1325,,,,,,,,,,,,,
1326,,,,,,,,,,,,,
1327,,,,,,,,,,,,,
1328,,,,,,,,,,,,,
1329,,,,,,,,,,,,,
1330,,,,,,,,,,,,,
1331,,,,,,,,,,,,,
1332,,,,,,,,,,,,,
1333,,,,,,,,,,,,,
1334,,,,,,,,,,,,,
1335,,,,,,,,,,,,,
1336,,,,,,,,,,,,,
1337,,,,,,,,,,,,,
1338,,,,,,,,,,,,,
1339,,,,,,,,,,,,,
1340,,,,,,,,,,,,,
1341,,,,,,,,,,,,,
1342,,,,,,,,,,,,,
1343,,,,,,,,,,,,,
1344,,,,,,,,,,,,,
1345,,,,,,,,,,,,,
1346,,,,,,,,,,,,,
1347,,,,,,,,,,,,,
1348,,,,,,,,,,,,,
1349,,,,,,,,,,,,,
1350,,,,,,,,,,,,,
1351,,,,,,,,,,,,,
1352,,,,,,,,,,,,,
1353,,,,,,,,,,,,,
1354,,,,,,,,,,,,,
1355,,,,,,,,,,,,,
1356,,,,,,,,,,,,,
1357,,,,,,,,,,,,,
1358,,,,,,,,,,,,,
1359,,,,,,,,,,,,,
1360,,,,,,,,,,,,,
1361,,,,,,,,,,,,,
1362,,,,,,,,,,,,,
1363,,,,,,,,,,,,,
1364,,,,,,,,,,,,,
1365,,,,,,,,,,,,,
1366,,,,,,,,,,,,,
1367,,,,,,,,,,,,,
1368,,,,,,,,,,,,,
1369,,,,,,,,,,,,,
1370,,,,,,,,,,,,,
1371,,,,,,,,,,,,,
1372,,,,,,,,,,,,,
1373,,,,,,,,,,,,,
1374,,,,,,,,,,,,,
1375,,,,,,,,,,,,,
1376,,,,,,,,,,,,,
1377,,,,,,,,,,,,,
1378,,,,,,,,,,,,,
1379,,,,,,,,,,,,,
1380,,,,,,,,,,,,,
1381,,,,,,,,,,,,,
1382,,,,,,,,,,,,,
1383,,,,,,,,,,,,,
1384,,,,,,,,,,,,,
1385,,,,,,,,,,,,,
1386,,,,,,,,,,,,,
1387,,,,,,,,,,,,,
1388,,,,,,,,,,,,,
1389,,,,,,,,,,,,,
1390,,,,,,,,,,,,,
1391,,,,,,,,,,,,,
1392,,,,,,,,,,,,,
1393,,,,,,,,,,,,,
1394,,,,,,,,,,,,,
1395,,,,,,,,,,,,,
1396,,,,,,,,,,,,,
1397,,,,,,,,,,,,,
1398,,,,,,,,,,,,,
1399,,,,,,,,,,,,,
1400,,,,,,,,,,,,,
1401,,,,,,,,,,,,,
1402,,,,,,,,,,,,,
1403,,,,,,,,,,,,,
1404,,,,,,,,,,,,,
1405,,,,,,,,,,,,,
1406,,,,,,,,,,,,,
1407,,,,,,,,,,,,,
1408,,,,,,,,,,,,,
1409,,,,,,,,,,,,,
1410,,,,,,,,,,,,,
1411,,,,,,,,,,,,,
1412,,,,,,,,,,,,,
1413,,,,,,,,,,,,,
1414,,,,,,,,,,,,,
1415,,,,,,,,,,,,,
1416,,,,,,,,,,,,,
1417,,,,,,,,,,,,,
1418,,,,,,,,,,,,,
1419,,,,,,,,,,,,,
1420,,,,,,,,,,,,,
1421,,,,,,,,,,,,,
1422,,,,,,,,,,,,,
1423,,,,,,,,,,,,,
1424,,,,,,,,,,,,,
1425,,,,,,,,,,,,,
1426,,,,,,,,,,,,,
1427,,,,,,,,,,,,,
1428,,,,,,,,,,,,,
1429,,,,,,,,,,,,,
1430,,,,,,,,,,,,,
1431,,,,,,,,,,,,,
1432,,,,,,,,,,,,,
1433,,,,,,,,,,,,,
1434,,,,,,,,,,,,,
1435,,,,,,,,,,,,,
1436,,,,,,,,,,,,,
1437,,,,,,,,,,,,,
1438,,,,,,,,,,,,,
1439,,,,,,,,,,,,,
1440,,,,,,,,,,,,,
1441,,,,,,,,,,,,,
1442,,,,,,,,,,,,,
1443,,,,,,,,,,,,,
1444,,,,,,,,,,,,,
1445,,,,,,,,,,,,,
1446,,,,,,,,,,,,,
1447,,,,,,,,,,,,,
1448,,,,,,,,,,,,,
1449,,,,,,,,,,,,,
1450,,,,,,,,,,,,,
1451,,,,,,,,,,,,,
1452,,,,,,,,,,,,,
1453,,,,,,,,,,,,,
1454,,,,,,,,,,,,,
1455,,,,,,,,,,,,,
1456,,,,,,,,,,,,,
1457,,,,,,,,,,,,,
1458,,,,,,,,,,,,,
1459,,,,,,,,,,,,,
1460,,,,,,,,,,,,,
1461,,,,,,,,,,,,,
1462,,,,,,,,,,,,,
1463,,,,,,,,,,,,,
1464,,,,,,,,,,,,,
1465,,,,,,,,,,,,,
1466,,,,,,,,,,,,,
1467,,,,,,,,,,,,,
1468,,,,,,,,,,,,,
1469,,,,,,,,,,,,,
1470,,,,,,,,,,,,,
1471,,,,,,,,,,,,,
1472,,,,,,,,,,,,,
1473,,,,,,,,,,,,,
1474,,,,,,,,,,,,,
1475,,,,,,,,,,,,,
1476,,,,,,,,,,,,,
1477,,,,,,,,,,,,,
1478,,,,,,,,,,,,,
1479,,,,,,,,,,,,,
1480,,,,,,,,,,,,,
1481,,,,,,,,,,,,,
1482,,,,,,,,,,,,,
1483,,,,,,,,,,,,,
1484,,,,,,,,,,,,,
1485,,,,,,,,,,,,,
1486,,,,,,,,,,,,,
1487,,,,,,,,,,,,,
1488,,,,,,,,,,,,,
1489,,,,,,,,,,,,,
1490,,,,,,,,,,,,,
1491,,,,,,,,,,,,,
1492,,,,,,,,,,,,,
1493,,,,,,,,,,,,,
1494,,,,,,,,,,,,,
1495,,,,,,,,,,,,,
1496,,,,,,,,,,,,,
1497,,,,,,,,,,,,,
1498,,,,,,,,,,,,,
1499,,,,,,,,,,,,,
1500,,,,,,,,,,,,,
1501,,,,,,,,,,,,,
1502,,,,,,,,,,,,,
1503,,,,,,,,,,,,,
1504,,,,,,,,,,,,,
1505,,,,,,,,,,,,,
1506,,,,,,,,,,,,,
1507,,,,,,,,,,,,,
